Filename,Center_X,Center_Y,Average_Color_B,Average_Color_G,Average_Color_R
001_block.png,114,114,255,255,255
002_block.png,62,87,255,255,255
003_block.png,27,105,255,255,255
020_block.png,80,62,255,255,255
022_block.png,75,88,39,197,248
023_block.png,80,61,255,255,255
024_block.png,105,105,255,255,255
025_block.png,60,94,255,255,255
027_block.png,95,103,255,255,255
028_block.png,64,99,255,255,255
029_block.png,66,102,255,255,255
030_block.png,85,69,255,255,255
032_block.png,55,47,255,255,255
033_block.png,72,76,39,197,248
034_block.png,89,66,39,197,248
035_block.png,104,81,255,255,255
037_block.png,53,63,255,255,255
038_block.png,80,74,255,255,255
039_block.png,36,47,255,255,255
040_block.png,97,26,196,239,253
042_block.png,67,28,40,198,248
043_block.png,69,30,255,255,255
044_block.png,104,74,255,255,255
045_block.png,64,65,223,223,223
047_block.png,95,63,255,255,255
048_block.png,95,63,255,255,255
049_block.png,95,63,255,255,255
050_block.png,81,60,255,255,255
052_block.png,39,15,255,255,255
053_block.png,66,60,39,197,248
054_block.png,89,76,39,197,248
055_block.png,25,30,39,197,248
057_block.png,63,61,255,255,255
058_block.png,76,92,255,255,255
059_block.png,39,59,255,255,255
062_block.png,79,63,39,197,248
063_block.png,15,23,255,255,255
